Exchange,Token,Ltp,Change,Exchange Timestamp,Volume
1,1330,1841.0,4294966276,2020-09-02 14:40:33,2746168
1,1330,1841.25,4294966301,2020-09-02 14:40:34,2746178
1,1330,1841.15,4294966291,2020-09-02 14:40:35,2746179
1,1330,1841.0,4294966276,2020-09-02 14:40:37,2746185
1,1330,1841.0,4294966276,2020-09-02 14:40:38,2746185
1,1330,1841.0,4294966276,2020-09-02 14:40:38,2746237
1,1330,1841.1,4294966286,2020-09-02 14:40:39,2746358
1,1330,1841.05,4294966281,2020-09-02 14:40:41,2746620
1,1330,1841.05,4294966281,2020-09-02 14:40:42,2746647
1,1330,1841.05,4294966281,2020-09-02 14:40:42,2746649
1,1330,1841.05,4294966281,2020-09-02 14:40:43,2746650
1,1330,1841.05,4294966281,2020-09-02 14:40:45,2746661
1,1330,1841.0,4294966276,2020-09-02 14:40:45,2746660
1,1330,1841.05,4294966281,2020-09-02 14:40:46,2746774
1,1330,1841.05,4294966281,2020-09-02 14:40:47,2749607
1,1330,1841.55,4294966331,2020-09-02 14:40:49,2750146
1,1330,1842.0,4294966376,2020-09-02 14:40:49,2750200
1,1330,1842.0,4294966376,2020-09-02 14:40:50,2750206
1,1330,1841.55,4294966331,2020-09-02 14:40:51,2750408
1,1330,1841.55,4294966331,2020-09-02 14:40:53,2750547
1,1330,1842.0,4294966376,2020-09-02 14:40:53,2750715
1,1330,1842.0,4294966376,2020-09-02 14:40:54,2750732
1,1330,1841.55,4294966331,2020-09-02 14:40:55,2750735
1,1330,1841.55,4294966331,2020-09-02 14:40:56,2750759
1,1330,1841.55,4294966331,2020-09-02 14:40:57,2750814
1,1330,1841.55,4294966331,2020-09-02 14:40:59,2751009
1,1330,1842.0,4294966376,2020-09-02 14:40:59,2751039
1,1330,1841.4,4294966316,2020-09-02 14:41:00,2752899
1,1330,1841.7,4294966346,2020-09-02 14:41:02,2752992
1,1330,1841.7,4294966346,2020-09-02 14:41:03,2753013
1,1330,1841.85,4294966361,2020-09-02 14:41:04,2753096
1,1330,1841.9,4294966366,2020-09-02 14:41:04,2753104
1,1330,1841.9,4294966366,2020-09-02 14:41:05,2753105
1,1330,1841.9,4294966366,2020-09-02 14:41:07,2753105
1,1330,1841.5,4294966326,2020-09-02 14:41:08,2753127
1,1330,1841.6,4294966336,2020-09-02 14:41:08,2753229
1,1330,1841.6,4294966336,2020-09-02 14:41:09,2753240
1,1330,1841.6,4294966336,2020-09-02 14:41:11,2753242
1,1330,1841.6,4294966336,2020-09-02 14:41:11,2753242
1,1330,1841.5,4294966326,2020-09-02 14:41:12,2753322
1,1330,1841.5,4294966326,2020-09-02 14:41:14,2753356
1,1330,1841.55,4294966331,2020-09-02 14:41:14,2753359
1,1330,1841.55,4294966331,2020-09-02 14:41:15,2753365
1,1330,1841.55,4294966331,2020-09-02 14:41:16,2753447
1,1330,1841.55,4294966331,2020-09-02 14:41:17,2753455
1,1330,1841.4,4294966316,2020-09-02 14:41:18,2754117
1,1330,1841.45,4294966321,2020-09-02 14:41:19,2754854
1,1330,1841.0,4294966276,2020-09-02 14:41:21,2756196
1,1330,1840.9,4294966266,2020-09-02 14:41:21,2756330
1,1330,1840.8,4294966256,2020-09-02 14:41:22,2756474
1,1330,1840.8,4294966256,2020-09-02 14:41:23,2756506
1,1330,1840.8,4294966256,2020-09-02 14:41:24,2756709
1,1330,1840.8,4294966256,2020-09-02 14:41:26,2756730
1,1330,1840.8,4294966256,2020-09-02 14:41:26,2756732
1,1330,1840.8,4294966256,2020-09-02 14:41:27,2756732
1,1330,1840.8,4294966256,2020-09-02 14:41:28,2756791
1,1330,1840.7,4294966246,2020-09-02 14:41:30,2756872
1,1330,1840.8,4294966256,2020-09-02 14:41:30,2756918
1,1330,1840.8,4294966256,2020-09-02 14:41:31,2757122
1,1330,1840.8,4294966256,2020-09-02 14:41:32,2760513
1,1330,1841.0,4294966276,2020-09-02 14:41:34,2760566
1,1330,1841.0,4294966276,2020-09-02 14:41:35,2760673
1,1330,1841.2,4294966296,2020-09-02 14:41:36,2760905
1,1330,1841.2,4294966296,2020-09-02 14:41:36,2760928
1,1330,1841.15,4294966291,2020-09-02 14:41:37,2760930
1,1330,1841.15,4294966291,2020-09-02 14:41:38,2760946
1,1330,1841.15,4294966291,2020-09-02 14:41:39,2760947
1,1330,1841.0,4294966276,2020-09-02 14:41:41,2760962
1,1330,1841.1,4294966286,2020-09-02 14:41:41,2760964
1,1330,1841.1,4294966286,2020-09-02 14:41:42,2760984
1,1330,1841.1,4294966286,2020-09-02 14:41:44,2761074
1,1330,1841.0,4294966276,2020-09-02 14:41:44,2761066
1,1330,1840.9,4294966266,2020-09-02 14:41:45,2761805
1,1330,1841.15,4294966291,2020-09-02 14:41:47,2762098
1,1330,1841.15,4294966291,2020-09-02 14:41:48,2762294
1,1330,1841.0,4294966276,2020-09-02 14:41:49,2762339
1,1330,1841.0,4294966276,2020-09-02 14:41:50,2762344
1,1330,1841.0,4294966276,2020-09-02 14:41:51,2762344
1,1330,1840.9,4294966266,2020-09-02 14:41:51,2762353
1,1330,1840.9,4294966266,2020-09-02 14:41:52,2762371
1,1330,1841.0,4294966276,2020-09-02 14:41:53,2762404
1,1330,1840.9,4294966266,2020-09-02 14:41:55,2762589
1,1330,1841.0,4294966276,2020-09-02 14:41:56,2763068
1,1330,1841.0,4294966276,2020-09-02 14:41:56,2763115
1,1330,1840.9,4294966266,2020-09-02 14:41:57,2763122
1,1330,1841.0,4294966276,2020-09-02 14:41:59,2763143
1,1330,1840.95,4294966271,2020-09-02 14:41:59,2763144
1,1330,1840.95,4294966271,2020-09-02 14:42:00,2763293
1,1330,1840.95,4294966271,2020-09-02 14:42:01,2763308
1,1330,1840.8,4294966256,2020-09-02 14:42:03,2763739
1,1330,1840.8,4294966256,2020-09-02 14:42:04,2763806
1,1330,1840.8,4294966256,2020-09-02 14:42:05,2763816
1,1330,1840.85,4294966261,2020-09-02 14:42:06,2763862
1,1330,1840.8,4294966256,2020-09-02 14:42:07,2763877
1,1330,1840.85,4294966261,2020-09-02 14:42:07,2763878
1,1330,1840.85,4294966261,2020-09-02 14:42:08,2763878
1,1330,1840.85,4294966261,2020-09-02 14:42:10,2763938
1,1330,1840.85,4294966261,2020-09-02 14:42:10,2763944
1,1330,1840.8,4294966256,2020-09-02 14:42:11,2764328
1,1330,1840.0,4294966176,2020-09-02 14:42:12,2766252
1,1330,1839.7,4294966146,2020-09-02 14:42:13,2766559
1,1330,1839.6,4294966136,2020-09-02 14:42:14,2766776
1,1330,1839.65,4294966141,2020-09-02 14:42:16,2766797
1,1330,1839.55,4294966131,2020-09-02 14:42:17,2766800
1,1330,1839.6,4294966136,2020-09-02 14:42:17,2766811
1,1330,1839.55,4294966131,2020-09-02 14:42:18,2767981
1,1330,1839.5,4294966126,2020-09-02 14:42:20,2768152
1,1330,1839.5,4294966126,2020-09-02 14:42:21,2768250
